OTU_19	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Massarina
OTU_651	k__Fungi
OTU_642	k__Fungi
OTU_641	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_cucumerina_SH190986.07FU
OTU_633	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_622	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_658	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_654	k__Fungi
OTU_644	k__Fungi
OTU_649	k__Fungi
OTU_659	k__Fungi;p__Ascomycota
OTU_648	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae
OTU_663	k__Fungi
OTU_664	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_675	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_647	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_662	k__Fungi;p__Basidiomycota
OTU_681	k__Fungi;p__Ascomycota
OTU_650	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae
OTU_682	k__Fungi
OTU_676	k__Fungi;p__Ascomycota
OTU_655	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_669	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_667	k__Fungi
OTU_687	k__Fungi
OTU_693	k__Fungi
OTU_671	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae
OTU_692	k__Fungi
OTU_661	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae
OTU_660	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae
OTU_691	k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae
OTU_694	k__Fungi;p__Ascomycota
OTU_702	k__Fungi;p__Ascomycota
OTU_673	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales
OTU_696	k__Fungi
OTU_672	k__Fungi
OTU_689	k__Fungi
OTU_688	k__Fungi
OTU_685	k__Fungi;p__Ascomycota
OTU_705	k__Fungi
OTU_683	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor;s__Mucor_irregularis_SH187074.07FU
OTU_695	k__Fungi
OTU_690	k__Fungi
OTU_697	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_709	k__Fungi
OTU_665	k__Fungi
OTU_699	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria_fuckelii_SH205222.07FU
OTU_698	k__Fungi
OTU_710	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe
OTU_708	k__Fungi
OTU_712	k__Fungi;p__Ascomycota
OTU_716	k__Fungi
OTU_718	k__Fungi
OTU_721	k__Fungi
OTU_719	k__Fungi;p__Ascomycota
OTU_713	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_implicatum_SH210205.07FU
OTU_722	k__Fungi;p__Ascomycota
OTU_723	k__Fungi;p__Ascomycota
OTU_720	k__Fungi;p__Ascomycota
OTU_703	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Leptosphaeria
OTU_715	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_724	k__Fungi
OTU_700	k__Fungi
OTU_727	k__Fungi
OTU_744	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_725	k__Fungi
OTU_741	k__Fungi
OTU_738	k__Fungi
OTU_733	k__Fungi
OTU_743	k__Fungi
OTU_706	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_luteola_SH180500.07FU
OTU_745	k__Fungi
OTU_714	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae
OTU_711	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_746	k__Fungi
OTU_739	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Tetraplosphaeriaceae
OTU_728	k__Fungi
OTU_747	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae
OTU_759	k__Fungi
OTU_742	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_749	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae
OTU_760	k__Fungi
OTU_763	k__Fungi
OTU_769	k__Fungi;p__Ascomycota
OTU_740	k__Fungi
OTU_751	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae
OTU_756	k__Fungi
OTU_732	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales
OTU_767	k__Fungi
OTU_772	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_737	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_766	k__Fungi;p__Ascomycota
OTU_752	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_779	k__Fungi
OTU_755	k__Fungi;p__Monoblepharomycota;c__Monoblepharidomycetes
OTU_768	k__Fungi
OTU_753	k__Fungi
OTU_730	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__Pichia_kluyveri_SH204094.07FU
OTU_764	k__Fungi
OTU_782	k__Fungi
OTU_783	k__Fungi;p__Ascomycota
OTU_770	k__Fungi;p__Rozellomycota
OTU_788	k__Fungi
OTU_792	k__Fungi
OTU_780	k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Moesziomyces;s__Moesziomyces_parantarcticus_SH182781.07FU
OTU_786	k__Fungi
OTU_805	k__Fungi;p__Ascomycota
OTU_773	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales
OTU_785	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_sporotrichioides_SH446992.07FU
OTU_813	k__Fungi;p__Ascomycota
OTU_802	k__Fungi
OTU_798	k__Fungi
OTU_815	k__Fungi;p__Ascomycota
OTU_778	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_aculeatus_SH021498.07FU
OTU_781	k__Fungi
OTU_812	k__Fungi
OTU_789	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Thielavia
OTU_810	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_801	k__Fungi
OTU_809	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_787	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Ochroconis;s__Ochroconis_ramosa_SH530048.07FU
OTU_790	k__Fungi
OTU_824	k__Fungi;p__Ascomycota
OTU_827	k__Fungi
OTU_828	k__Fungi
OTU_799	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Sarocladium;s__Sarocladium_oryzae_SH210206.07FU
OTU_808	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_implicatum_SH210205.07FU
OTU_829	k__Fungi
OTU_807	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales
OTU_841	k__Fungi;p__Chytridiomycota
OTU_835	k__Fungi
OTU_823	k__Fungi;p__Chytridiomycota
OTU_806	k__Fungi
OTU_831	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_839	k__Fungi
OTU_843	k__Fungi
OTU_838	k__Fungi
OTU_833	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Lecanoraceae;g__Protoparmeliopsis;s__Protoparmeliopsis_peltata_SH013696.07FU
OTU_821	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Poaceascoma;s__Poaceascoma_helicoides_SH211391.07FU
OTU_848	k__Fungi
OTU_819	k__Fungi;p__Ascomycota
OTU_817	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_844	k__Fungi;p__Ascomycota
OTU_855	k__Fungi;p__Ascomycota
OTU_850	k__Fungi;p__Ascomycota
OTU_834	k__Fungi
OTU_858	k__Fungi
OTU_859	k__Fungi
OTU_874	k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Sporisorium;s__Sporisorium_dietelianum_SH475795.07FU
OTU_854	k__Fungi
OTU_860	k__Fungi
OTU_837	k__Fungi
OTU_836	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis;f__Dothideomycetes_fam_Incertae_sedis;g__Leptospora;s__Leptospora_rubella_SH200464.07FU
OTU_871	k__Fungi
OTU_865	k__Fungi;p__Ascomycota
OTU_882	k__Fungi
OTU_840	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Tetraplosphaeriaceae
OTU_886	k__Fungi;p__Ascomycota
OTU_845	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Neopestalotiopsis
OTU_846	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Tetraplosphaeriaceae
OTU_883	k__Fungi
OTU_873	k__Fungi
OTU_878	k__Fungi;p__Ascomycota
OTU_856	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariales_fam_Incertae_sedis;g__Staphylotrichum;s__Staphylotrichum_coccosporum_SH195313.07FU
OTU_880	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectria
OTU_891	k__Fungi;p__Ascomycota
OTU_893	k__Fungi;p__Basidiomycota
OTU_888	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
OTU_898	k__Fungi
OTU_877	k__Fungi
OTU_892	k__Fungi;p__Ascomycota
OTU_881	k__Fungi
OTU_862	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_900	k__Fungi;p__Basidiomycota
OTU_884	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula
OTU_899	k__Fungi;p__Ascomycota
OTU_869	k__Fungi
OTU_895	k__Fungi
OTU_861	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella
OTU_894	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Ramichloridium;s__Ramichloridium_apiculatum_SH360444.07FU
OTU_902	k__Fungi
OTU_885	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae
OTU_910	k__Fungi;p__Ascomycota
OTU_906	k__Fungi
OTU_909	k__Fungi
OTU_912	k__Fungi
OTU_923	k__Fungi
OTU_905	k__Fungi
OTU_914	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_926	k__Fungi;p__Ascomycota
OTU_920	k__Fungi;p__Ascomycota
OTU_936	k__Fungi;p__Basidiomycota
OTU_938	k__Fungi;p__Ascomycota
OTU_937	k__Fungi
OTU_935	k__Fungi
OTU_927	k__Fungi
OTU_921	k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae
OTU_908	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella
OTU_901	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
OTU_897	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__Pichia_kluyveri_SH204094.07FU
OTU_940	k__Fungi
OTU_903	k__Fungi
OTU_911	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_917	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia
OTU_934	k__Fungi
OTU_916	k__Fungi
OTU_947	k__Fungi
OTU_924	k__Fungi
OTU_922	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Biappendiculispora;s__Biappendiculispora_japonica_SH532144.07FU
OTU_953	k__Fungi
OTU_955	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales
OTU_950	k__Fungi
OTU_949	k__Fungi
OTU_951	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_954	k__Fungi
OTU_931	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_970	k__Fungi
OTU_944	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Conlarium
OTU_956	k__Fungi;p__Ascomycota
OTU_967	k__Fungi;p__Ascomycota
OTU_945	k__Fungi
OTU_963	k__Fungi
OTU_973	k__Fungi
OTU_942	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus
OTU_968	k__Fungi;p__Ascomycota
OTU_952	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cladorrhinum;s__Cladorrhinum_bulbillosum_SH207742.07FU
OTU_979	k__Fungi;p__Ascomycota
OTU_959	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae
OTU_957	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Cyberlindnera
OTU_975	k__Fungi
OTU_974	k__Fungi;p__Basidiomycota
OTU_961	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_persicinum_SH207979.07FU
OTU_958	k__Fungi
OTU_977	k__Fungi
OTU_981	k__Fungi;p__Ascomycota
OTU_980	k__Fungi
OTU_983	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales
OTU_982	k__Fungi
OTU_990	k__Fungi
OTU_978	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae
OTU_992	k__Fungi
OTU_985	k__Fungi
OTU_966	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales
OTU_1000	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Cora
OTU_996	k__Fungi
OTU_976	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_987	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Claroideoglomus
OTU_1005	k__Fungi;p__Ascomycota
OTU_1004	k__Fungi
OTU_1009	k__Fungi;p__Ascomycota
OTU_1012	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
OTU_1017	k__Fungi
OTU_993	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_1006	k__Fungi
OTU_1021	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_991	k__Fungi
OTU_1015	k__Fungi
OTU_1011	k__Fungi;p__Monoblepharomycota;c__Monoblepharidomycetes
OTU_999	k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes;o__Rhizophlyctidales;f__Rhizophlyctidaceae;g__Rhizophlyctis;s__Rhizophlyctis_rosea_SH192223.07FU
OTU_986	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__Lasiodiplodia_theobromae_SH419876.07FU
OTU_1019	k__Fungi
OTU_1001	k__Fungi;p__Monoblepharomycota;c__Monoblepharidomycetes
OTU_1016	k__Fungi;p__Ascomycota
OTU_1002	k__Fungi
OTU_1018	k__Fungi
OTU_1023	k__Fungi
OTU_1025	k__Fungi
OTU_1028	k__Fungi
OTU_1027	k__Fungi
OTU_984	k__Fungi;p__Basidiomycota
OTU_1031	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Sarocladium
OTU_1030	k__Fungi
OTU_1029	k__Fungi
OTU_1008	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Tetraplosphaeriaceae
OTU_1042	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1035	k__Fungi;p__Ascomycota
OTU_1039	k__Fungi;p__Ascomycota
OTU_1038	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Strigulales;f__Strigulaceae;g__Strigula;s__Strigula_smaragdula_SH211054.07FU
OTU_1050	k__Fungi;p__Ascomycota
OTU_1048	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Rhizoctonia;s__Rhizoctonia_zeae_SH010541.07FU
OTU_1056	k__Fungi;p__Ascomycota
OTU_1047	k__Fungi
OTU_1043	k__Fungi;p__Chytridiomycota
OTU_1060	k__Fungi
OTU_1024	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_1058	k__Fungi
OTU_1041	k__Fungi
OTU_1032	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
OTU_1045	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina;s__Macrophomina_phaseolina_SH182425.07FU
OTU_1061	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Pestalotiopsis
OTU_1066	k__Fungi;p__Basidiomycota
OTU_1046	k__Fungi
OTU_1034	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales
OTU_1069	k__Fungi;p__Ascomycota
OTU_1036	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales
OTU_1076	k__Fungi;p__Ascomycota
OTU_1067	k__Fungi
OTU_1037	k__Fungi
OTU_1079	k__Fungi
OTU_1075	k__Fungi;p__Ascomycota
OTU_1059	k__Fungi
OTU_1068	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae
OTU_1085	k__Fungi
OTU_1084	k__Fungi
OTU_1086	k__Fungi;p__Ascomycota
OTU_1054	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_1083	k__Fungi
OTU_1064	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_1092	k__Fungi;p__Ascomycota
OTU_1081	k__Fungi
OTU_1065	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae
OTU_1089	k__Fungi;p__Ascomycota
OTU_1071	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Conlarium
OTU_1077	k__Fungi
OTU_1095	k__Fungi
OTU_1082	k__Fungi;p__Mortierellomycota
OTU_1090	k__Fungi
OTU_1073	k__Fungi
OTU_1093	k__Fungi;p__Ascomycota
OTU_1106	k__Fungi
OTU_1100	k__Fungi
OTU_1099	k__Fungi
OTU_1096	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Ochroconis;s__Ochroconis_minima_SH207896.07FU
OTU_1102	k__Fungi
OTU_1070	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus
OTU_1105	k__Fungi
OTU_1111	k__Fungi;p__Ascomycota
OTU_1087	k__Fungi
OTU_1094	k__Fungi;p__Ascomycota
OTU_1108	k__Fungi
OTU_1114	k__Fungi
OTU_1109	k__Fungi
OTU_1110	k__Fungi;p__Ascomycota
OTU_1113	k__Fungi
OTU_1103	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium
OTU_1120	k__Fungi
OTU_1119	k__Fungi
OTU_1104	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_favrei_SH188062.07FU
OTU_1127	k__Fungi;p__Ascomycota
OTU_1101	k__Fungi;p__Ascomycota
OTU_1125	k__Fungi;p__Ascomycota
OTU_1136	k__Fungi;p__Chytridiomycota;c__Chytridiomycetes
OTU_1126	k__Fungi
OTU_1128	k__Fungi
OTU_1116	k__Fungi
OTU_1139	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales
OTU_1141	k__Fungi
OTU_1118	k__Fungi;p__Rozellomycota
OTU_1132	k__Fungi
OTU_1130	k__Fungi;p__Rozellomycota
OTU_1143	k__Fungi
OTU_1145	k__Fungi;p__Ascomycota
OTU_1146	k__Fungi
OTU_1144	k__Fungi
OTU_1122	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Branch06
OTU_1134	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales
OTU_1153	k__Fungi;p__Ascomycota
OTU_1124	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris;s__Bipolaris_panici-miliacei_SH215376.07FU
OTU_1150	k__Fungi
OTU_1149	k__Fungi
OTU_1138	k__Fungi
OTU_1164	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Chaetospermum;s__Chaetospermum_chaetosporum_SH206084.07FU
OTU_1154	k__Fungi
OTU_1142	k__Fungi
OTU_1157	k__Fungi
OTU_1131	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Suillaceae;g__Suillus;s__Suillus_brevipes_SH630276.07FU
OTU_1162	k__Fungi
OTU_1168	k__Fungi;p__Ascomycota
OTU_1137	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_1173	k__Fungi
OTU_1133	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_1177	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales
OTU_1170	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena;s__Mycena_rebaudengoi_SH214441.07FU
OTU_1135	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gliocladiopsis;s__Gliocladiopsis_curvata_SH182795.07FU
OTU_1165	k__Fungi;p__Ascomycota
OTU_1176	k__Fungi
OTU_1166	k__Fungi
OTU_1140	k__Fungi;p__Rozellomycota;c__Rozellomycota_cls_Incertae_sedis;o__Branch02
OTU_1174	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1148	k__Fungi
OTU_1181	k__Fungi
OTU_1161	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Apiosordaria
OTU_1155	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor;s__Mucor_irregularis_SH187074.07FU
OTU_1179	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_1191	k__Fungi;p__Ascomycota
OTU_1163	k__Fungi
OTU_1183	k__Fungi
OTU_1201	k__Fungi
OTU_1203	k__Fungi
OTU_1167	k__Fungi;p__Rozellomycota;c__Rozellomycota_cls_Incertae_sedis;o__GS08
OTU_1184	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_1196	k__Fungi
OTU_1212	k__Fungi;p__Ascomycota
OTU_1205	k__Fungi;p__Ascomycota
OTU_1188	k__Fungi;p__Rozellomycota
OTU_1182	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_laurentii_SH631003.07FU
OTU_1211	k__Fungi
OTU_1193	k__Fungi
OTU_1180	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_1172	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_1200	k__Fungi
OTU_1204	k__Fungi
OTU_1208	k__Fungi
OTU_1219	k__Fungi;p__Ascomycota
OTU_1216	k__Fungi;p__Chytridiomycota
OTU_1221	k__Fungi
OTU_1198	k__Fungi
OTU_1220	k__Fungi
OTU_1194	k__Fungi
OTU_1195	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_1206	k__Fungi
OTU_1202	k__Fungi
OTU_1225	k__Fungi
OTU_1228	k__Fungi
OTU_1229	k__Fungi
OTU_1218	k__Fungi;p__Chytridiomycota
OTU_1231	k__Fungi
OTU_1226	k__Fungi;p__Ascomycota
OTU_1214	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinellus;s__Coprinellus_curtus_SH220395.07FU
OTU_1213	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Tetracladium
OTU_1233	k__Fungi
OTU_1234	k__Fungi
OTU_1239	k__Fungi
OTU_1236	k__Fungi
OTU_1235	k__Fungi
OTU_1238	k__Fungi;p__Ascomycota
OTU_1243	k__Fungi
OTU_1230	k__Fungi
OTU_1222	k__Fungi
OTU_1224	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_1237	k__Fungi;p__Ascomycota
OTU_1248	k__Fungi
OTU_1249	k__Fungi;p__Ascomycota
OTU_1255	k__Fungi;p__Ascomycota
OTU_1251	k__Fungi
OTU_1232	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Pestalotiopsis
OTU_1260	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1250	k__Fungi
OTU_1258	k__Fungi;p__Ascomycota
OTU_1245	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidium
OTU_1247	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_1264	k__Fungi;p__Ascomycota
OTU_1259	k__Fungi
OTU_1262	k__Fungi
OTU_1263	k__Fungi
OTU_1242	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_1244	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectria
OTU_1241	k__Fungi;p__Ascomycota
OTU_1254	k__Fungi
OTU_1256	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cyphellaceae
OTU_1268	k__Fungi
OTU_1269	k__Fungi
OTU_1275	k__Fungi;p__Ascomycota
OTU_1280	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1252	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Neopestalotiopsis
OTU_1278	k__Fungi
OTU_1283	k__Fungi
OTU_1277	k__Fungi
OTU_1253	k__Fungi;p__Basidiomycota
OTU_1288	k__Fungi;p__Ascomycota
OTU_1281	k__Fungi
OTU_1285	k__Fungi;p__Ascomycota
OTU_1286	k__Fungi;p__Ascomycota
OTU_1284	k__Fungi;p__Basidiomycota;c__Agaricomycetes
